name,code,cost,supertype,cardtype,subtype,rarity,rulestext,flavourtext,power,toughness,artist,art_url,image_url,frame,active
Will of the People,MR03,2r,,Sorcery,,mythic,"Until end of turn, you may play artifact lands and cast artifact spells from your graveyard.
If an artifact card or token would be put into your graveyard from anywhere this turn, exile it instead.",&quot;&quot;No longer shall we submit to the mindless Kosmengeve or the heartless Artinans! We make our own destiny!&quot;&quot;,,,,,https://www.planesculptors.net/upload/5734/16049/Will%20of%20the%20People.jpg,Red,
Accelerated Evolution,RG08,3gg,,Sorcery,,rare,"Double the number of each kind of counter on target artifact or creature.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",,,,,,https://www.planesculptors.net/upload/5734/16049/Accelerated%20Evolution.jpg,Green,
Accelerated Refactor,UG11,3g,,Instant,,uncommon,"Choose target creature you control. If it has no counters on it, put two +1/+1 counters on it. Otherwise, give it two counters of each kind already on it. Then it fights target creature you don&#39;t control.",,,,,,https://www.planesculptors.net/upload/5734/16049/Accelerated%20Refactor.jpg,Green,
Anima Overflowing,MG03,1g,,Artifact,,mythic,"Whenever you cast a creature spell, you may have target noncreature artifact become a copy of it until end of turn, except it&#39;s still an artifact and keeps its abilities.",Life flows through all things.,,,,,https://www.planesculptors.net/upload/5734/16049/Anima%20Overflowing.jpg,Green,
Artinan Naturalist,UG01,1G,,Artifact Creature,Druid,uncommon,"Clockwork 3 (This creature enters with 3 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
{T}: Add one mana of any color.",,0,0,,,https://www.planesculptors.net/upload/5734/16049/Artinan%20Naturalist.jpg,Green,FALSE
Artinan Preservation,CG14,2g,,Instant,,common,"Target creature gets +3/+3 until end of turn.
Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",Artinan naturalists aren&#39;t afraid to get a little hands-on when their specimens are threatened.,,,,,https://www.planesculptors.net/upload/5734/16049/Artinan%20Preservation.jpg,Green,
Attendant Swarm,UG02,1g,,Artifact Creature,Insect,uncommon,"Whenever Attendant Swarm attacks, each player mills 1.
When Attendant Swarm dies, return target land card from your graveyard to the battlefield tapped.
Discard a land card: Return Attendant Swarm from your graveyard to your hand.",,2,2,,,https://www.planesculptors.net/upload/5734/16049/Attendant%20Swarm.jpg,Green,
Awakened Ore,MG02,6g,,Artifact Creature,Beast,mythic,"Whenever Awakened Ore or another nontoken creature you control enters, each player mills 1, then you may return a land card from a graveyard to the battlefield.
Whenever a land you control enters, create a 3/3 green Beast artifact creature token with trample.",,6,6,,,https://www.planesculptors.net/upload/5734/16049/Awakened%20Ore.jpg,Green,
Boce-Nag Burrower,CG10,4g,,Artifact Creature,Wurm,common,"Vigilance
When Boce-Nag Burrower enters, target creature gains vigilance and gets +X/+X until end of turn, where X is the number of creature cards in your graveyard.",,5,4,,,https://www.planesculptors.net/upload/5734/16049/Boce-Nag%20Burrower.jpg,Green,
Boce-Nag Hydra,RG05,XGG,,Artifact Creature,Hydra,rare,"Clockwork X (This creature enters with X +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Trample
If damage would be dealt to Boce-Nag Hydra, instead tap it.",,0,0,,,https://www.planesculptors.net/upload/5734/16049/Boce-Nag%20Hydra.jpg,Green,FALSE
Boce-Nag Overseer,RG04,4GG,,Artifact Creature,Treefolk,rare,"Ward {3}
When Boce-Nag Overseer enters, destroy up to one target noncreature artifact and up to one target noncreature enchantment.",,7,7,,,https://www.planesculptors.net/upload/5734/16049/Boce-Nag%20Overseer.jpg,Green,FALSE
Bonobo Troop,UG04,2g,,Artifact Creature,Ape,uncommon,"Clockwork X, where X is the number of other differently named artifacts you control. (This creature enters with X +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Trample",,1,1,,,https://www.planesculptors.net/upload/5734/16049/Bonobo%20Troop.jpg,Green,
Comm-Line Spinner,CG05,2g,,Artifact Creature,Spider,common,"Clockwork 1 (This creature enters with 1 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Reach
Whenever Comm-Line Spinner blocks a creature with flying, put a +1/+1 counter on it.",,0,2,,,https://www.planesculptors.net/upload/5734/16049/Comm-Line%20Spinner.jpg,Green,
Crushing Canopy,CG15,2g,,Instant,,common,"Choose one —
• Destroy target creature with flying.
• Destroy target enchantment.","On Namekkos, the flora is a kind of fauna too.",,,,,https://www.planesculptors.net/upload/5734/16049/Crushing%20Canopy.jpg,Green,
Daunting Carapace,CG13,2g,,Enchantment,Aura,common,"Enchant creature
Enchanted creature gets +1/+1.
Enchanted creature can&#39;t be blocked by creatures with power 2 or less.",,,,,,https://www.planesculptors.net/upload/5734/16049/Daunting%20Carapace.jpg,Green,
Druid of the Brush,CG08,3g,,Artifact Creature,Druid,common,"When Druid of the Brush enters, you may sacrifice an artifact. If you do, create two 1/1 green Insect artifact creature tokens.","“All life is valuable, from the largest treefolk to the smallest worms.”
—Agnoe, Artinan warden",3,3,,,https://www.planesculptors.net/upload/5734/16049/Druid%20of%20the%20Brush.jpg,Green,
Gear Rustlers,CG12,5g,,Artifact Creature,Ape Artificer,common,"When Gear Rustlers enters, mill three cards, then put a +1/+1 counter on Gear Rustlers for each artifact card in your graveyard.","The tools were clearly marked for disposal, but the apes couldn&#39;t read.",3,3,,,https://www.planesculptors.net/upload/5734/16049/Gear%20Rustlers.jpg,Green,
Hibernating Ursatron,UG06,3g,,Artifact Creature,Bear,uncommon,"Trample
Hibernating Ursatron enters tapped.
As an additional cost to untap Hibernating Ursatron, remove two counters from among permanents you control.",,6,6,,,https://www.planesculptors.net/upload/5734/16049/Hibernating%20Ursatron.jpg,Green,FALSE
"Itezoe, Clockwork Kirin",MG01,2gg,Legendary,Artifact Creature,Giraffe,mythic,"Clockwork 1
Itezoe, Clockwork Kirin has all activated and triggered abilities of other permanents with counters on them.
Whenever one or more counters are removed from a permanent you control, put a shield counter on another target permanent. This ability triggers only once each turn.",,4,4,,,https://www.planesculptors.net/upload/5734/16049/Itezoe%20Clockwork%20Kirin.jpg,Green,
Knock-Down Brawl,RG07,5g,,Enchantment,,rare,"Flash
When Knock-Down Brawl enters, target creature you control fights target creature you don&#39;t control.
Whenever a creature you control wins a fight, return Knock-Down Brawl to your hand. (A creature wins a fight when it survives and the other creature doesn&#39;t.)",,,,,,https://www.planesculptors.net/upload/5734/16049/Knock-Down%20Brawl.jpg,Green,
Lurk Below,CG06,1gg,,Sorcery,,common,"Create a 3/3 green Beast artifact creature token with trample.
Whenever a creature you control with power 4 or greater dies, you may return Lurk Below from your graveyard to your hand.",,,,,,https://www.planesculptors.net/upload/5734/16049/Lurk%20Below.jpg,Green,
Migrating Tumbleweed,CG02,1g,,Artifact Creature,Plant,common,"Clockwork 2 (This creature enters with 2 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Whenever Migrating Tumbleweed deals combat damage to a player, you may sacrifice it. If you do, search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",,0,0,,,https://www.planesculptors.net/upload/5734/16049/Migrating%20Tumbleweed.jpg,Green,
Pack Hunter,UG08,4g,,Artifact Creature,Beast,uncommon,"Trample
When Pack Hunter enters, create a 3/3 green Beast artifact creature token with trample.",It’s not the one you see that’s a threat.,3,3,,,https://www.planesculptors.net/upload/5734/16049/Pack%20Hunter.jpg,Green,
Patient Naturalist,CG04,2g,,Artifact Creature,Scout,common,"{5}{G}: Choose target artifact. If it’s a creature, put a +1/+1 counter on it. Otherwise, put a charge counter on it.","“Verdant bloom can be coaxed out of all of nature’s creations.”
—Agnoe, Artinan warden",3,3,,,https://www.planesculptors.net/upload/5734/16049/Patient%20Naturalist.jpg,Green,
Rampaging Ursatron,UG07,4g,,Artifact Creature,Bear,uncommon,"When Rampaging Ursatron enters, choose one —
• Destroy target noncreature artifact or noncreature enchantment.
• Put two +1/+1 counters on Rampaging Ursatron.",,3,3,,,https://www.planesculptors.net/upload/5734/16049/Rampaging%20Ursatron.jpg,Green,FALSE
Recycling Shepherd,UG09,5g,,Artifact Creature,Treefolk Druid,uncommon,"When Recycling Shepherd enters, create a 1/1 green Insect artifact creature token.
Whenever another creature you control dies, if it had a counter on it, create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)",,5,5,,,https://www.planesculptors.net/upload/5734/16049/Recycling%20Shepherd.jpg,Green,
Reflective Carapace,UG10,3g,,Enchantment,Aura,uncommon,"Enchant creature
Enchanted creature has ward {1}.
If one or more +1/+1 counters would be removed from enchanted creature for the first time each turn, instead put a +1/+1 counter on it.",,,,,,https://www.planesculptors.net/upload/5734/16049/Reflective%20Carapace.jpg,Green,
Return to Ore,CG16,G,,Instant,,common,Destroy target noncreature artifact. You gain life equal to its mana value.,"“You’ve reached the end of your life cycle, but be glad that your gears and pistons will drive life anew.”
—Agnoe, Artinan warden",,,,,https://www.planesculptors.net/upload/5734/16049/Return%20to%20Ore.jpg,Green,FALSE
Revitalizing Stroll,CG19,2g,,Sorcery,,common,"Mill three cards, then return a permanent card from your graveyard to your hand. You gain life equal to that card&#39;s mana value.",A welcome respite from the high-stakes conflict of Association academia.,,,,,https://www.planesculptors.net/upload/5734/16049/Revitalizing%20Stroll.jpg,Green,
Roar of Boce-Nag,UG12,2gg,,Sorcery,,uncommon,"When you cast Roar of Boce-Nag, up to one target artifact you control.
Until end of turn, creatures you control gain trample and “This creature gets +1/+1 for each counter on it.”",,,,,,https://www.planesculptors.net/upload/5734/16049/Roar%20of%20Boce-Nag.jpg,Green,
Rust Weevils,UG05,2gg,,Artifact Creature,Insect,uncommon,"Clockwork 2 (This creature enters with 2 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Whenever you remove one or more counters from a permanent you control, create that many 1/1 green Insect artifact creature tokens.",,0,0,,,https://www.planesculptors.net/upload/5734/16049/Rust%20Weevils.jpg,Green,FALSE
Scrap Reclamation,CG17,2g,,Sorcery,,common,"Whenever a land you control enters this turn, create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)
Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",,,,,,https://www.planesculptors.net/upload/5734/16049/Scrap%20Reclamation.jpg,Green,
Scraphound,UG03,2g,,Artifact Creature,Dog,uncommon,"Whenever a creature dealt damage by Scraphound this turn dies, create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)
Sacrifice a Scrap: Scraphound gets +2/+2 until end of turn. Activate this ability only once each turn.",,3,2,,,https://www.planesculptors.net/upload/5734/16049/Scraphound.jpg,Green,FALSE
Shepherd of the Wilds,CG07,3g,,Artifact Creature,Treefolk Druid,common,"Reach
When Shepherd of the Wilds enters, if you had another artifact enter the battlefield under your control this turn, draw a card.",Every filigreed leaf and welded branch has known the shepherd’s touch.,3,5,,,https://www.planesculptors.net/upload/5734/16049/Shepherd%20of%20the%20Wilds.jpg,Green,
Stampeding Thunderbeast,RG03,4g,,Artifact Creature,Dinosaur,rare,"Trample, vigilance
Whenever Stampeding Thunderbeast attacks, you may sacrifice any number of noncreature artifacts. When you do, put that many +1/+1 counters on another target creature you control.",,6,5,,,https://www.planesculptors.net/upload/5734/16049/Stampeding%20Thunderbeast.jpg,Green,
Swarming Carapace,RG06,4g,,Enchantment,Aura,rare,"Enchant creature
At the beginning of each combat, until end of turn, enchanted creature gains your choice of hexproof, reach, trample, or vigilance, or gets +1/+1. Copy this ability for each other creature you control.
At the beginning of your end step, create a 1/1 green Insect artifact creature token.",,,,,,https://www.planesculptors.net/upload/5734/16049/Swarming%20Carapace.jpg,Green,
Symek Stationmaster,RG01,G,,Artifact Creature,Artificer,rare,"Ward {2}
{T}: Add one mana of any color. Spend this mana only to cast an artifact spell or activate an ability of an artifact.",,1,2,,,https://www.planesculptors.net/upload/5734/16049/Symek%20Stationmaster.jpg,Green,FALSE
Synak Scout,CG01,g,,Artifact Creature,Scout,common,"[Clockwork C]
{1}{g}: Put a +1/+1 counter on Synak Scout. Activate only as a sorcery.",,1,1,,,https://www.planesculptors.net/upload/5734/16049/Synak%20Scout.jpg,Green,
"Temmar, Apprentice Clockmaker",RG02,1GG,Legendary,Artifact Creature,Artificer,rare,"{G}, {T}, Sacrifice another artifact: You may put an artifact or creature card with mana value equal to 1 plus the sacrificed artifact&#39;s mana value from your hand onto the battlefield.",The world is putty in his hands.,1,3,,,https://www.planesculptors.net/upload/5734/16049/Temmar%20Apprentice%20Clockmaker.jpg,Green,FALSE
Ticking Trufflehunter,CG09,2gg,,Artifact Creature,Boar,common,"Clockwork 4 (This creature enters with 4 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
When Ticking Trufflehunter enters, create a Scrap token. (It&#39;s an artifact with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)",,0,0,,,https://www.planesculptors.net/upload/5734/16049/Ticking%20Trufflehunter.jpg,Green,
Trilling Raptor,CG03,1g,,Artifact Creature,Dinosaur,common,"Whenever Trilling Raptor deals combat damage to a player, untap target artifact or land you control.",,3,1,,,https://www.planesculptors.net/upload/5734/16049/Trilling%20Raptor.jpg,Green,
Wind-Up Blow,CG18,1g,,Sorcery,,common,"Choose target creature you control. If it has clockwork, put a +1/+1 counter on it. Then it fights target creature you don&#39;t control.",,,,,,https://www.planesculptors.net/upload/5734/16049/Wind-Up%20Blow.jpg,Green,FALSE
Wind-Up Dreadmaw,CG11,4gg,,Artifact Creature,Dinosaur,common,"Clockwork 6 (This creature enters with 6 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Remove a counter from an artifact you control: Wind-Up Dreadmaw gains trample until end of turn.",,0,0,,,https://www.planesculptors.net/upload/5734/16049/Wind-Up%20Dreadmaw.jpg,Green,FALSE
Archon of Unity,RZ01,5WWU,,Artifact Creature,Archon,rare,"Flying, vigilance
Whenever a permanent deals damage to you, gain control of that permanent.",Peace and prosperity demand a unified world.,5,7,,,https://www.planesculptors.net/upload/5734/16049/Archon%20of%20Unity.jpg,Multicolour,FALSE
Sage Owlin,UZ01,2wu,,Artifact Creature,Bird Advisor,uncommon,"Flying
Whenever a creature you control enters, if you didn&#39;t cast it, draw a card. This ability triggers only once each turn.","&quot;&quot;Something is disturbing the flow of anima. If the Empire is behind this, our world may be doomed.&quot;&quot;",2,3,,,https://www.planesculptors.net/upload/5734/16049/Sage%20Owlin.jpg,Multicolour,
"Venser, Prodigal Shaper",MZ01,3WU,Legendary,Planeswalker,Venser,mythic,"[+2]: Create a token that’s a copy of target creature you control, except it’s a 1/1 artifact.
[0]: Target creature you control phases out. You may activate this ability any time you could cast an instant.
[-7]: You get an emblem with “Whenever you cast a spell, return target spell or nonland permanent an opponent controls to its owner’s hand. Until the end of your next turn, you may cast a copy of it.”",,,3,,,https://www.planesculptors.net/upload/5734/16049/Venser%20Prodigal%20Shaper.jpg,Multicolour,FALSE
Spell Pilfer,RZ02,UB,,Instant,,rare,"Look at target opponent&#39;s hand and exile an instant or sorcery card from it. You may cast that card for as long as it remains exiled, and you may spend mana as though it were mana of any type to cast that spell. Put it into its owner&#39;s hand as it resolves. If you don&#39;t exile a card this way, draw a card.",,,,Daarken,http://www.artofmtg.com/wp-content/uploads/2019/04/Davriels-Shadowfugue-War-of-the-Spark-Art.jpg,https://www.planesculptors.net/upload/5734/16049/Spell%20Pilfer.jpg,Multicolour,
Terosev Marauders,UZ02,4ub,,Artifact Creature,Pirate,uncommon,"Clockwork 4 (This creature enters with 4 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
{u}{b}, {t}: Any number of target players each mill a number of cards equal to Terosev Marauders&#39;s power. If four or more land cards are milled this way, you draw a card.",,0,2,,,https://www.planesculptors.net/upload/5734/16049/Terosev%20Marauders.jpg,Multicolour,
Freelance Enforcers,RZ03,2Br,,Artifact Creature,Rogue,rare,"Lifelink
If a spell or ability an opponent controls would cause that player to search their library, they may have you copy it. When they don’t, Freelance Enforcers deals damage to that player equal to the number of cards in their hand.",,4,3,,,https://www.planesculptors.net/upload/5734/16049/Freelance%20Enforcers.jpg,Multicolour,
Morex Hedonist,UZ03,3br,,Artifact Creature,Rogue,uncommon,"First strike
Whenever you sacrifice an artifact, choose up to one target permanent or player that hasn&#39;t been chosen this way this turn. Morex Hedonist deals X damage to that permanent or player, where X is one plus the mana value of the sacrificed permanent.",,5,4,,,https://www.planesculptors.net/upload/5734/16049/Morex%20Hedonist.jpg,Multicolour,
Gensto Frontliners,UZ04,3rg,,Artifact Creature,Soldier,uncommon,"Gensto Frontliners can&#39;t be blocked by creatures with power 2 or less.
Whenever Gensto Frontliners attacks, reveal the top card of your library. If it’s a land card, put it onto the battlefield tapped. Otherwise, create a tapped Treasure token and you may put that card into your graveyard.",,4,5,,,https://www.planesculptors.net/upload/5734/16049/Gensto%20Frontliners.jpg,Multicolour,
"Luthan, Street Brawler",RZ04,2rg,Legendary,Artifact Creature,Warrior,rare,"Whenever Luthan, Street Brawler enters or attacks, it fights target creature an opponent controls.
Whenever a creature you control wins a fight, put a +1/+1 counter on it. (A creature wins a fight when it survives and the other creature doesn&#39;t.)",,3,3,,,https://www.planesculptors.net/upload/5734/16049/Luthan%20Street%20Brawler.jpg,Multicolour,
Boce-Nag Druid,UZ05,1gw,,Artifact Creature,Druid,uncommon,"Whenever Boce-Nag Druid attacks, put your choice of a +1/+1 or charge counter on each differently named artifact you control.","&quot;&quot;Kosmen&#39;s goals are reprehensible, but we have much to learn from its methods.&quot;&quot;",2,2,,,https://www.planesculptors.net/upload/5734/16049/Boce-Nag%20Druid.jpg,Multicolour,FALSE
Copper Sequoia,RZ05,5gw,,Artifact Creature,Treefolk,rare,"Each differently named artifact you tap while casting this spell pays for {1}.
Trample, vigilance
Copper Sequoia&#39;s power and toughness are each equal to the number of differently named artifacts you control.",,*,*,,,https://www.planesculptors.net/upload/5734/16049/Copper%20Sequoia.jpg,Multicolour,FALSE
Kosmengeve Recruiter,UZ06,2wb,,Artifact Creature,Soldier,uncommon,"Creature tokens you control get +1/+0.
At the beginning of your end step, if two or more tokens left the battlefield this turn, create a 2/2 white Drone artifact creature token with vigilance.",,3,3,,,https://www.planesculptors.net/upload/5734/16049/Kosmengeve%20Recruiter.jpg,Multicolour,
Monument Sculptor,RZ06,3wb,,Artifact Creature,Artificer,rare,"Artifacts you control have “Ward—Pay 2 life.” (Whenever one becomes the target of a spell or ability an opponent controls, counter it unless that player pays 2 life.)
Whenever a legendary creature you control dies, you may exile it. If you do, create a token that’s a copy of that card, except it’s an artifact and loses all other card types. (It’s no longer legendary.)",,4,5,,,https://www.planesculptors.net/upload/5734/16049/Monument%20Sculptor.jpg,Multicolour,
Quickthorn Drawer,RZ08,2bgg,,Artifact Creature,Treefolk Warrior,rare,"Quickthorn Drawer has indestructible unless it has damage marked on it equal to its toughness.
Whenever Quickthorn Drawer deals combat damage, create that many Scrap tokens., except they&#39;re 1/1 Plant creatures in addition to their other types.",,3,6,,,https://www.planesculptors.net/upload/5734/16049/Quickthorn%20Drawer.jpg,Multicolour,
Tersol Harvester,UZ08,3bg,,Artifact Creature,Beast,uncommon,"Clockwork 4 (This creature enters with 4 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Whenever you remove one or more counters from Tersol Harvester, return target permanent card from your graveyard to your hand if it has mana value less than Tersol Harvester&#39;s power.",,1,1,,,https://www.planesculptors.net/upload/5734/16049/Tersol%20Harvester.jpg,Multicolour,
Artinan Warden,UZ10,2gu,,Artifact Creature,Artificer,uncommon,"Ward {2}
If an artifact or creature would enter under your control with one or more counters on it, it enters with that many plus one of each of those kinds of counters instead.",,2,4,,,https://www.planesculptors.net/upload/5734/16049/Artinan%20Warden.jpg,Multicolour,
Iterative Improvement,RZ10,guu,,Instant,,rare,"Copy target artifact or creature spell, then return it to its owner&#39;s hand. The permanent the copy becomes enters with your choice of an additional +1/+1 counter or charge counter on it.","“Nature’s designs are beauty of the highest order. Now let’s improve them.”
—Stusur, Artinan chancellor",,,,,https://www.planesculptors.net/upload/5734/16049/Iterative%20Improvement.jpg,Multicolour,
"Temmar, Ascendant Clockmaker",MZ02,2gu,Legendary,Planeswalker,Temmar,mythic,"[+1]: Sacrifice an artifact. Search your library for an artifact or creature card with mana value equal to 1 plus the sacrificed artifact’s mana value, put that card onto the battlefield, then shuffle.
[-2]: Until the start of your next turn, counters can&#39;t be removed from permanents you control.
[-5]: You get an emblem with &quot;&quot;Spells you cast cost {1} less for each artifact you control.&quot;&quot;",,,3,,,https://www.planesculptors.net/upload/5734/16049/Temmar%20Ascendant%20Clockmaker.jpg,Multicolour,
Hissing Moloch,UZ07,3ur,,Artifact Creature,Lizard,uncommon,"Whenever you cast your second spell each turn, you may draw a card. If you do, discard a card. When you discard a nonland card this way, Hissing Moloch deals 2 damage to any target.",,4,4,,,https://www.planesculptors.net/upload/5734/16049/Hissing%20Moloch.jpg,Multicolour,
"Naxidy, Anima Shaper",RZ07,2ur,Legendary,Artifact Creature,Wizard,rare,"Whenever you cast or copy an instant or sorcery spell, Naxidy, Anima Shaper gets +1/+1 until end of turn.
Whenever you cast a spell with cipher, copy it. You may choose new targets for the copy.
{u/b}{b/r}: When target creature you control leaves the battlefield this turn, if it had one or more cards encoded on it, return one of the encoded cards to its owner&#39;s hand.",,2,3,,,https://www.planesculptors.net/upload/5734/16049/Naxidy%20Anima%20Shaper.jpg,Multicolour,
Furnace Stoker,RZ09,1rrw,,Artifact Creature,Elemental,rare,"Lifelink
At the beginning of each combat, sacrifice any number of tokens. When you do, Furnace Stoker deals that much damage to target creature.
When Furnace Stoker dies, create three Scrap tokens. (They&#39;re artifacts with &quot;&quot;{1}, {t}, Sacrifice this artifact: Give target permanent another counter of each kind already there.&quot;&quot;)",,4,3,,,https://www.planesculptors.net/upload/5734/16049/Furnace%20Stoker.jpg,Multicolour,
Sonkoso Leaper,UZ09,1rw,,Artifact Creature,Cat,uncommon,"Clockwork 3 (This creature enters with 3 +1/+1 counters on it. Whenever it becomes tapped, remove one at end of turn.)
Haste
Whenever you remove one or more counters from among permanents you control, Sonkoso Leaper deals that much damage to any target.",,1,1,,,https://www.planesculptors.net/upload/5734/16049/Sonkoso%20Leaper.jpg,Multicolour,
Insidious Cruelty,MZ03,3ubbr,,Sorcery,,mythic,"Target opponent discards any number of cards, then mills cards equal to seven minus the number of cards discarded this way. You may exile an artifact or creature card from that player’s graveyard and create a token that’s a copy of it. When you do, it deals damage equal to its mana value to target creature or planeswalker an opponent controls.
Cipher",,,,,,https://www.planesculptors.net/upload/5734/16049/Insidious%20Cruelty.jpg,Multicolour,
Fastidious Visitor,UA01,3,,Artifact Creature,Otter,uncommon,"When Fastidious Visitor enters or leaves the battlefield, choose target card in a graveyard not named Fastidious Visitor. Its owner puts it on the top or bottom of their library.","“At first it was just cleaning up litter. Now the damn thing is running off with measuring equipment and power tools!”
—Akor, Synak station patrol",2,2,,,https://www.planesculptors.net/upload/5734/16049/Fastidious%20Visitor.jpg,Artifact,
Field Upgrades,CA03,4,,Artifact,,common,"When Field Upgrades is put into a graveyard from the battlefield, you draw a card.
Sacrifice Field Upgrades: Each artifact creature you control enters with an additional +1/+1 counter on it this turn. Each noncreature artifact you control enters with an additional charge counter on it this turn.",,,,,,https://www.planesculptors.net/upload/5734/16049/Field%20Upgrades.jpg,Artifact,
Lumbering Brontodon,RA01,7,,Artifact Creature,Dinosaur,rare,"Trample
When Lumbering Brontodon enters, sacrifice any number of other artifacts. Put a +1/+1 counter on Lumbering Brontodon for each permanent sacrificed this way.","“You were supposed to drag the supply drop back to base, not eat the damn thing!”
—Akor, Synak station patrol",3,3,,,https://www.planesculptors.net/upload/5734/16049/Lumbering%20Brontodon.jpg,Artifact,
Nest of Automata,RA02,5,,Artifact,,rare,"{1}, {T}, Tap two creatures you control with the same name: Create a token that&#39;s a copy of one of those creatures.",,,,,,https://www.planesculptors.net/upload/5734/16049/Nest%20of%20Automata.jpg,Artifact,FALSE
Perpetual Motion Machine,UA03,3,,Artifact,,uncommon,"Clockwork 3 (This artifact enters with 3 charge counters on it. Whenever it becomes tapped, remove one at end of turn.)
{t}: Add one mana of any color. Activate only if Perpetual Motion Machine has a counter on it.
Whenever you remove one or more counters from a permanent you control, create that many Scrap tokens. This ability triggers only once each turn.",,,,,,https://www.planesculptors.net/upload/5734/16049/Perpetual%20Motion%20Machine.jpg,Artifact,FALSE
Powered Gauntlets,RA03,4,,Artifact,Equipment,rare,"Clockwork 4 (This artifact enters with 4 charge counters on it. Whenever it becomes tapped, remove one at end of turn.)
Equipped creature gets +1/+1 for each charge counter on Powered Gauntlets and has first strike.
Equip {t} ({t}: Attach to target creature you control. Equip only as a sorcery.)",,,,,,https://www.planesculptors.net/upload/5734/16049/Powered%20Gauntlets.jpg,Artifact,FALSE
Refabricator Plant,MA02,4,,Artifact,,mythic,"Whenever an artifact or creature you control is put into a graveyard from the battlefield, create a Scrap token.
{t}, Sacrifice six Scraps: Look at the top six cards of your library. You may cast a spell from among them without paying its mana cost. Put the rest on the bottom of your library in a random order. If you don&#39;t cast a spell this way, draw a card.",,,,,,https://www.planesculptors.net/upload/5734/16049/Refabricator%20Plant.jpg,Artifact,FALSE
Resonant Field Generator,RA04,XX,,Artifact,,rare,"Clockwork X (This artifact enters with X charge counters on it. Whenever it becomes tapped, remove one at end of turn.)
{1}, {T}: Put a +1/+1 counter on each creature you control. Activate only if Resonant Field Generator has a counter on it.",,,,,,https://www.planesculptors.net/upload/5734/16049/Resonant%20Field%20Generator.jpg,Artifact,FALSE
Ring of Aqming,UA07,2,,Artifact,Equipment,uncommon,"Clockwork 3 (This artifact enters with 3 charge counters on it. Whenever it becomes tapped, remove one at end of turn.)
Equipped creature gets +1/+1 and has menace.
{4}{b}, {t}: Until the start of your next turn, equipped creature gains &quot;&quot;Whenever a creature an opponent controls dies, if it was dealt combat damage by this creature this turn, return it to the battlefield under your control tapped.&quot;&quot; Activate only as a sorcery and only if Ring of Aqming has a counter on it.
Equip {1}",,,,,,https://www.planesculptors.net/upload/5734/16049/Ring%20of%20Aqming.jpg,Artifact,
Ring of Boce-Nag,UA09,2,,Artifact,Equipment,uncommon,"Clockwork 3 (This artifact enters with 3 charge counters on it. Whenever it becomes tapped, remove one at end of turn.)
Equipped creature gets +1/+1 and has trample.
{4}{g}, {t}: Until the start of your next turn, double the power and toughness of equipped creature. Activate only as a sorcery and only if Ring of Boce-Nag has a counter on it.
Equip {1}",,,,,,https://www.planesculptors.net/upload/5734/16049/Ring%20of%20Boce-Nag.jpg,Artifact,
Ring of Fulop,UA06,2,,Artifact,Equipment,uncommon,"Clockwork 3 (This artifact enters with 3 charge counters on it. Whenever it becomes tapped, remove one at end of turn.)
Equipped creature gets +1/+1 and has ward {1}.
{4}{u}, {t}: Until the start of your next turn, equipped creature gains flying and hexproof. Activate only as a sorcery and only if Ring of Fulop has a counter on it.
Equip {1}",,,,,,https://www.planesculptors.net/upload/5734/16049/Ring%20of%20Fulop.jpg,Artifact,
Ring of Kapare,UA05,2,,Artifact,Equipment,uncommon,"Clockwork 3 (This artifact enters with 3 charge counters on it. Whenever it becomes tapped, remove one at end of turn.)
Equipped creature gets +1/+1 and has vigilance.
{4}{w}, {t}: Until the start of your next turn, prevent all damage to equipped creature. When you prevent damage this way, it deals that much damage to any target. Activate only as a sorcery and only if Ring of Kapare has a counter on it.
Equip {1}",,,,,,https://www.planesculptors.net/upload/5734/16049/Ring%20of%20Kapare.jpg,Artifact,
